NO.,Time,Voltage
1.0,-3e-05,0.76
2.0,-2.99e-05,1.24
3.0,-2.98e-05,1.24
4.0,-2.97e-05,1.8
5.0,-2.96e-05,1.8
6.0,-2.95e-05,2.28
7.0,-2.94e-05,2.32
8.0,-2.93e-05,2.76
9.0,-2.92e-05,2.8
10.0,-2.91e-05,3.24
11.0,-2.9e-05,3.28
12.0,-2.89e-05,3.68
13.0,-2.88e-05,3.72
14.0,-2.87e-05,4.04
15.0,-2.86e-05,4.12
16.0,-2.85e-05,4.44
17.0,-2.84e-05,4.44
18.0,-2.83e-05,4.68
19.0,-2.82e-05,4.72
20.0,-2.81e-05,4.92
21.0,-2.8e-05,4.92
22.0,-2.79e-05,5.04
23.0,-2.78e-05,5.04
24.0,-2.77e-05,5.08
25.0,-2.76e-05,5.08
26.0,-2.75e-05,5.04
27.0,-2.74e-05,5.04
28.0,-2.73e-05,4.92
29.0,-2.72e-05,4.88
30.0,-2.71e-05,4.72
31.0,-2.7e-05,4.72
32.0,-2.69e-05,4.44
33.0,-2.68e-05,4.4
34.0,-2.67e-05,4.08
35.0,-2.66e-05,4.0
36.0,-2.65e-05,3.6
37.0,-2.64e-05,3.6
38.0,-2.63e-05,3.12
39.0,-2.62e-05,3.08
40.0,-2.61e-05,2.48
41.0,-2.6e-05,2.44
42.0,-2.59e-05,1.84
43.0,-2.58e-05,1.8
44.0,-2.57e-05,1.12
45.0,-2.56e-05,1.04
46.0,-2.55e-05,0.4
47.0,-2.54e-05,0.36
48.0,-2.53e-05,0.04
49.0,-2.52e-05,0.0
50.0,-2.51e-05,-0.28
51.0,-2.5e-05,-0.28
52.0,-2.49e-05,-0.44
53.0,-2.48e-05,-0.44
54.0,-2.47e-05,-0.56
55.0,-2.46e-05,-0.52
56.0,-2.45e-05,-0.64
57.0,-2.44e-05,-0.64
58.0,-2.43e-05,-0.72
59.0,-2.42e-05,-0.72
60.0,-2.41e-05,-0.68
61.0,-2.4e-05,-0.72
62.0,-2.39e-05,-0.76
63.0,-2.38e-05,-0.76
64.0,-2.37e-05,-0.72
65.0,-2.36e-05,-0.76
66.0,-2.35e-05,-0.76
67.0,-2.34e-05,-0.8
68.0,-2.33e-05,-0.72
69.0,-2.32e-05,-0.76
70.0,-2.31e-05,-0.8
71.0,-2.3e-05,-0.76
72.0,-2.29e-05,-0.76
73.0,-2.28e-05,-0.76
74.0,-2.27e-05,-0.8
75.0,-2.26e-05,-0.72
76.0,-2.25e-05,-0.8
77.0,-2.24e-05,-0.76
78.0,-2.23e-05,-0.8
79.0,-2.22e-05,-0.76
80.0,-2.21e-05,-0.76
81.0,-2.2e-05,-0.76
82.0,-2.19e-05,-0.8
83.0,-2.18e-05,-0.76
84.0,-2.17e-05,-0.8
85.0,-2.16e-05,-0.76
86.0,-2.15e-05,-0.8
87.0,-2.14e-05,-0.76
88.0,-2.13e-05,-0.8
89.0,-2.12e-05,-0.76
90.0,-2.11e-05,-0.8
91.0,-2.1e-05,-0.76
92.0,-2.09e-05,-0.8
93.0,-2.08e-05,-0.76
94.0,-2.07e-05,-0.76
95.0,-2.06e-05,-0.76
96.0,-2.05e-05,-0.8
97.0,-2.04e-05,-0.76
98.0,-2.03e-05,-0.8
