"Rigol Technologies,Inc. -[Data]",,
,,
,,
,,
CH1 1.00V  5.000us 50.00MSa  Size=600  [Date:9/15/2015],,
,,
,,
NO.,Time,Voltage
,,
1.0,-3e-05,5.44
2.0,-2.99e-05,5.44
3.0,-2.98e-05,5.44
4.0,-2.97e-05,5.44
5.0,-2.96e-05,5.44
6.0,-2.95e-05,5.44
7.0,-2.94e-05,5.44
8.0,-2.93e-05,5.44
9.0,-2.92e-05,5.44
10.0,-2.91e-05,5.44
11.0,-2.9e-05,5.44
12.0,-2.89e-05,5.44
13.0,-2.88e-05,5.44
14.0,-2.87e-05,5.44
15.0,-2.86e-05,5.44
16.0,-2.85e-05,5.44
17.0,-2.84e-05,5.44
18.0,-2.83e-05,5.44
19.0,-2.82e-05,5.44
20.0,-2.81e-05,5.44
21.0,-2.8e-05,5.44
22.0,-2.79e-05,5.0
23.0,-2.78e-05,4.88
24.0,-2.77e-05,4.36
25.0,-2.76e-05,4.28
26.0,-2.75e-05,3.6
27.0,-2.74e-05,3.48
28.0,-2.73e-05,2.76
29.0,-2.72e-05,2.68
30.0,-2.71e-05,1.84
31.0,-2.7e-05,1.8
32.0,-2.69e-05,0.88
33.0,-2.68e-05,0.88
34.0,-2.67e-05,0.32
35.0,-2.66e-05,0.24
36.0,-2.65e-05,-0.12
37.0,-2.64e-05,-0.16
38.0,-2.63e-05,-0.4
39.0,-2.62e-05,-0.4
40.0,-2.61e-05,-0.52
41.0,-2.6e-05,-0.52
42.0,-2.59e-05,-0.64
43.0,-2.58e-05,-0.64
44.0,-2.57e-05,-0.72
45.0,-2.56e-05,-0.68
46.0,-2.55e-05,-0.76
47.0,-2.54e-05,-0.72
48.0,-2.53e-05,-0.8
49.0,-2.52e-05,-0.76
50.0,-2.51e-05,-0.8
51.0,-2.5e-05,-0.8
52.0,-2.49e-05,-0.76
53.0,-2.48e-05,-0.76
54.0,-2.47e-05,-0.8
55.0,-2.46e-05,-0.8
56.0,-2.45e-05,-0.76
57.0,-2.44e-05,-0.8
58.0,-2.43e-05,-0.76
59.0,-2.42e-05,-0.8
60.0,-2.41e-05,-0.76
61.0,-2.4e-05,-0.76
62.0,-2.39e-05,-0.8
63.0,-2.38e-05,-0.8
64.0,-2.37e-05,-0.76
65.0,-2.36e-05,-0.8
66.0,-2.35e-05,-0.76
67.0,-2.34e-05,-0.8
68.0,-2.33e-05,-0.76
69.0,-2.32e-05,-0.8
70.0,-2.31e-05,-0.76
71.0,-2.3e-05,-0.8
72.0,-2.29e-05,-0.76
73.0,-2.28e-05,-0.8
74.0,-2.27e-05,-0.76
75.0,-2.26e-05,-0.76
76.0,-2.25e-05,-0.8
77.0,-2.24e-05,-0.8
78.0,-2.23e-05,-0.76
79.0,-2.22e-05,-0.8
80.0,-2.21e-05,-0.76
81.0,-2.2e-05,-0.76
82.0,-2.19e-05,-0.8
83.0,-2.18e-05,-0.76
84.0,-2.17e-05,-0.8
85.0,-2.16e-05,-0.8
86.0,-2.15e-05,-0.76
87.0,-2.14e-05,-0.76
88.0,-2.13e-05,-0.8
89.0,-2.12e-05,-0.8
90.0,-2.11e-05,-0.76
91.0,-2.1e-05,-0.76
92.0,-2.09e-05,-0.8
93.0,-2.08e-05,-0.76
94.0,-2.07e-05,-0.8
95.0,-2.06e-05,-0.76
96.0,-2.05e-05,-0.8
97.0,-2.04e-05,-0.76
98.0,-2.03e-05,-0.8
99.0,-2.02e-05,-0.76
100.0,-2.01e-05,-0.8
101.0,-2e-05,-0.8
102.0,-1.99e-05,-0.76
103.0,-1.98e-05,-0.76
104.0,-1.97e-05,-0.8
105.0,-1.96e-05,-0.8
106.0,-1.95e-05,-0.76
107.0,-1.94e-05,-0.76
108.0,-1.93e-05,-0.8
109.0,-1.92e-05,-0.8
110.0,-1.91e-05,-0.76
111.0,-1.9e-05,-0.76
112.0,-1.89e-05,-0.8
113.0,-1.88e-05,-0.76
114.0,-1.87e-05,-0.72
115.0,-1.86e-05,-0.76
116.0,-1.85e-05,-0.8
117.0,-1.84e-05,-0.76
118.0,-1.83e-05,-0.8
119.0,-1.82e-05,-0.76
120.0,-1.81e-05,-0.76
121.0,-1.8e-05,-0.76
122.0,-1.79e-05,-0.72
123.0,-1.78e-05,-0.72
124.0,-1.77e-05,-0.76
125.0,-1.76e-05,-0.76
126.0,-1.75e-05,-0.72
127.0,-1.74e-05,-0.76
128.0,-1.73e-05,-0.72
129.0,-1.72e-05,-0.72
130.0,-1.71e-05,-0.8
131.0,-1.7e-05,-0.76
132.0,-1.69e-05,-0.72
133.0,-1.68e-05,-0.76
134.0,-1.67e-05,-0.72
135.0,-1.66e-05,-0.72
136.0,-1.65e-05,-0.76
137.0,-1.64e-05,-0.76
138.0,-1.63e-05,-0.72
